orf_id,ortho_cluster_id,ortho_cluster_members,i_val,mmseqs_cluster_representative,mmseqs_cluster_id
GCF_009833085_00397,36,GCF_009833085_00397,4.0,GCF_009833085_00397,314
GCF_009833085_00398,139,GCF_009833085_00398,4.0,GCF_009833085_00398,315
GCF_009833085_00399,142,GCF_009833085_00399,4.0,GCF_009833085_00399,316
GCF_017368815_02302,147,GCF_017368815_02302,4.0,GCF_017368815_02302,317
GCF_017368815_02303,155,GCF_017368815_02303,4.0,GCF_017368815_02303,318
GCF_017368815_02304,160,GCF_017368815_02304,4.0,GCF_017368815_02304,319
GCF_017368815_02305,0,GCF_017368815_02305,4.0,GCF_017368815_02305,320
GCF_017368815_02306,1,GCF_017368815_02306,4.0,GCF_017368815_02306,321
GCF_900089955_02453,173,GCF_900089955_02453,4.0,GCF_900089955_02453,322
GCF_900089955_02454,4,GCF_900089955_02454,4.0,GCF_900089955_02454,323
GCF_900089955_02455,0,GCF_900089955_02455,4.0,GCF_900089955_02455,324
GCF_900089955_02456,1,GCF_900089955_02456,4.0,GCF_900089955_02456,325
GCF_900089955_02457,2,GCF_900089955_02457,4.0,GCF_900089955_02457,326
GCF_900089955_02458,3,GCF_900089955_02458,4.0,GCF_900089955_02458,327
GCF_900089955_02459,5,GCF_900089955_02459,4.0,GCF_900089955_02459,328
GCF_900089955_02460,55,GCF_900089955_02460,4.0,GCF_900089955_02460,329
GCF_900089955_02461,60,GCF_900089955_02461,4.0,GCF_900089955_02461,330
GCF_900089955_02462,67,GCF_900089955_02462,4.0,GCF_900089955_02462,331
GCF_900103035_02214,73,GCF_900103035_02214,4.0,GCF_900103035_02214,332
GCF_900103035_02215,3,GCF_900103035_02215,4.0,GCF_900103035_02215,333
GCF_900103035_02216,2,GCF_900103035_02216,4.0,GCF_900103035_02216,334
GCF_900103035_02217,1,GCF_900103035_02217,4.0,GCF_900103035_02217,335
GCF_900103035_02218,0,GCF_900103035_02218,4.0,GCF_900103035_02218,336
GCF_900114795_02370,25,GCF_900114795_02370,4.0,GCF_900114795_02370,337
GCF_900114795_02371,27,GCF_900114795_02371,4.0,GCF_900114795_02371,338
GCF_900114795_02372,111,GCF_900114795_02372,4.0,GCF_900114795_02372,339
GCF_900114795_02373,114,GCF_900114795_02373,4.0,GCF_900114795_02373,340
GCF_900114795_02374,29,GCF_900114795_02374,4.0,GCF_900114795_02374,341
GCF_900114795_02375,0,GCF_900114795_02375,4.0,GCF_900114795_02375,342
GCF_900114795_02376,1,GCF_900114795_02376,4.0,GCF_900114795_02376,343
