locus_tag	ftype	length_bp	gene	EC_number	COG	product
BIPKCHJG_00597	gene	1254	hyuC			
BIPKCHJG_00598	CDS	1089	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
BIPKCHJG_00598	gene	1089	dpaL			
BIPKCHJG_00599	CDS	888	gltC_2			HTH-type transcriptional regulator GltC
BIPKCHJG_00599	gene	888	gltC_2			
BIPKCHJG_00600	CDS	1503				hypothetical protein
BIPKCHJG_00600	gene	1503				
BIPKCHJG_00601	CDS	792				Insertion sequence IS5376 putative ATP-binding protein
BIPKCHJG_00601	gene	792				
BIPKCHJG_00602	CDS	450				hypothetical protein
BIPKCHJG_00602	gene	450				
BIPKCHJG_00603	CDS	606	hin_1		COG1961	DNA-invertase hin
BIPKCHJG_00603	gene	606	hin_1			
BIPKCHJG_00604	CDS	243	eccA3		COG0464	ESX-3 secretion system protein EccA3
BIPKCHJG_00604	gene	243	eccA3			
BIPKCHJG_00605	CDS	117				hypothetical protein
BIPKCHJG_00605	gene	117				
BIPKCHJG_00606	CDS	666				hypothetical protein
BIPKCHJG_00606	gene	666				
BIPKCHJG_00607	CDS	1782	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
BIPKCHJG_00607	gene	1782	leuA			
BIPKCHJG_00608	CDS	1053				hypothetical protein
BIPKCHJG_00608	gene	1053				
BIPKCHJG_00609	CDS	648				hypothetical protein
BIPKCHJG_00609	gene	648				
BIPKCHJG_00610	CDS	771	recO		COG1381	DNA repair protein RecO
BIPKCHJG_00610	gene	771	recO			
BIPKCHJG_00611	CDS	774		2.5.1.88	COG0020	Trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific)
BIPKCHJG_00611	gene	774				
BIPKCHJG_00612	CDS	1947	pbpA_1		COG0768	Penicillin-binding protein A
BIPKCHJG_00612	gene	1947	pbpA_1			
BIPKCHJG_00613	CDS	423	zur		COG0735	Zinc uptake regulation protein
BIPKCHJG_00613	gene	423	zur			
BIPKCHJG_00614	CDS	1020	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
BIPKCHJG_00614	gene	1020	znuB			
BIPKCHJG_00615	CDS	807	znuC	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
BIPKCHJG_00615	gene	807	znuC			
BIPKCHJG_00616	CDS	951	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
BIPKCHJG_00616	gene	951	znuA			
BIPKCHJG_00617	CDS	792				hypothetical protein
BIPKCHJG_00617	gene	792				
BIPKCHJG_00618	CDS	294				hypothetical protein
BIPKCHJG_00618	gene	294				
BIPKCHJG_00619	CDS	519	sigE_3		COG1595	RNA polymerase sigma-E factor
BIPKCHJG_00619	gene	519	sigE_3			
BIPKCHJG_00620	CDS	1251				hypothetical protein
BIPKCHJG_00620	gene	1251				
BIPKCHJG_00621	CDS	831	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
BIPKCHJG_00621	gene	831	sseB			
BIPKCHJG_00622	CDS	1191	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
BIPKCHJG_00622	gene	1191	dus			
BIPKCHJG_00623	CDS	678				hypothetical protein
BIPKCHJG_00623	gene	678				
BIPKCHJG_00624	CDS	1236	dgt		COG0232	Deoxyguanosinetriphosphate triphosphohydrolase-like protein
BIPKCHJG_00624	gene	1236	dgt			
BIPKCHJG_00625	CDS	1911	dnaG	2.7.7.-	COG0358	DNA primase
BIPKCHJG_00625	gene	1911	dnaG			
BIPKCHJG_00626	CDS	519				hypothetical protein
BIPKCHJG_00626	gene	519				
BIPKCHJG_00627	tRNA	74				tRNA-Asn(gtt)
BIPKCHJG_00627	gene	74				
BIPKCHJG_00628	CDS	900	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
BIPKCHJG_00628	gene	900	glnH_2			
BIPKCHJG_00629	CDS	564			COG1652	putative protein
BIPKCHJG_00629	gene	564				
BIPKCHJG_00630	tRNA	76				tRNA-Met(cat)
BIPKCHJG_00630	gene	76				
BIPKCHJG_00631	CDS	336				hypothetical protein
BIPKCHJG_00631	gene	336				
BIPKCHJG_00632	CDS	720	xerC_2			Tyrosine recombinase XerC
BIPKCHJG_00632	gene	720	xerC_2			
BIPKCHJG_00633	CDS	681				hypothetical protein
BIPKCHJG_00633	gene	681				
BIPKCHJG_00634	CDS	273				hypothetical protein
BIPKCHJG_00634	gene	273				
BIPKCHJG_00635	CDS	540				hypothetical protein
BIPKCHJG_00635	gene	540				
BIPKCHJG_00636	CDS	516				hypothetical protein
BIPKCHJG_00636	gene	516				
BIPKCHJG_00637	CDS	2139	mmpL3_2		COG2409	Trehalose monomycolate exporter MmpL3
BIPKCHJG_00637	gene	2139	mmpL3_2			
BIPKCHJG_00638	CDS	351				hypothetical protein
BIPKCHJG_00638	gene	351				
BIPKCHJG_00639	CDS	1248	kasA	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
BIPKCHJG_00639	gene	1248	kasA			
BIPKCHJG_00640	CDS	249	acpP			Acyl carrier protein
BIPKCHJG_00640	gene	249	acpP			
BIPKCHJG_00641	CDS	1023	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
BIPKCHJG_00641	gene	1023	fabH			
BIPKCHJG_00642	CDS	918	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
BIPKCHJG_00642	gene	918	fabD			
BIPKCHJG_00643	CDS	1197			COG2508	putative protein
BIPKCHJG_00643	gene	1197				
BIPKCHJG_00644	CDS	2610	sacC	3.2.1.80	COG1621	Levanase
BIPKCHJG_00644	gene	2610	sacC			
BIPKCHJG_00645	CDS	1491	argG	6.3.4.5		Argininosuccinate synthase
BIPKCHJG_00645	gene	1491	argG			
BIPKCHJG_00646	CDS	1014	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
BIPKCHJG_00646	gene	1014	glpQ_1			
BIPKCHJG_00647	CDS	1065				hypothetical protein
BIPKCHJG_00647	gene	1065				
BIPKCHJG_00648	CDS	2775	aceE_2	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
BIPKCHJG_00648	gene	2775	aceE_2			
BIPKCHJG_00649	CDS	489				hypothetical protein
BIPKCHJG_00649	gene	489				
BIPKCHJG_00650	CDS	1641				hypothetical protein
BIPKCHJG_00650	gene	1641				
BIPKCHJG_00651	CDS	423				putative protein
BIPKCHJG_00651	gene	423				
BIPKCHJG_00652	CDS	489	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
BIPKCHJG_00652	gene	489	ahpE			
BIPKCHJG_00653	tRNA	74				tRNA-Val(tac)
BIPKCHJG_00653	gene	74				
BIPKCHJG_00654	CDS	843			COG0327	GTP cyclohydrolase 1 type 2 
BIPKCHJG_00654	gene	843				
BIPKCHJG_00655	CDS	741			COG1579	putative protein
BIPKCHJG_00655	gene	741				
BIPKCHJG_00656	CDS	1233			COG0328	Bifunctional protein
BIPKCHJG_00656	gene	1233				
BIPKCHJG_00657	CDS	672				hypothetical protein
BIPKCHJG_00657	gene	672				
BIPKCHJG_00658	CDS	525				hypothetical protein
BIPKCHJG_00658	gene	525				
BIPKCHJG_00659	CDS	279				hypothetical protein
BIPKCHJG_00659	gene	279				
BIPKCHJG_00660	CDS	576				hypothetical protein
BIPKCHJG_00660	gene	576				
BIPKCHJG_00661	CDS	5940	amy_2	3.2.1.1		Alpha-amylase
BIPKCHJG_00661	gene	5940	amy_2			
BIPKCHJG_00662	CDS	1212	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
BIPKCHJG_00662	gene	1212	metZ			
BIPKCHJG_00663	CDS	195				hypothetical protein
BIPKCHJG_00663	gene	195				
BIPKCHJG_00664	CDS	1200				hypothetical protein
BIPKCHJG_00664	gene	1200				
BIPKCHJG_00665	CDS	501	sigE_4		COG1595	RNA polymerase sigma-E factor
BIPKCHJG_00665	gene	501	sigE_4			
BIPKCHJG_00666	CDS	747				hypothetical protein
BIPKCHJG_00666	gene	747				
BIPKCHJG_00667	CDS	1476	rnr	3.1.13.1	COG0557	Ribonuclease R
BIPKCHJG_00667	gene	1476	rnr			
BIPKCHJG_00668	CDS	657				hypothetical protein
BIPKCHJG_00668	gene	657				
BIPKCHJG_00669	CDS	555				hypothetical protein
BIPKCHJG_00669	gene	555				
BIPKCHJG_00670	CDS	186				hypothetical protein
BIPKCHJG_00670	gene	186				
BIPKCHJG_00671	CDS	204				hypothetical protein
BIPKCHJG_00671	gene	204				
BIPKCHJG_00672	CDS	864	map	3.4.11.18	COG0024	Methionine aminopeptidase 2
BIPKCHJG_00672	gene	864	map			
BIPKCHJG_00673	CDS	918				hypothetical protein
BIPKCHJG_00673	gene	918				
BIPKCHJG_00674	CDS	864	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
BIPKCHJG_00674	gene	864	panB			
BIPKCHJG_00675	CDS	2325	ina	3.4.24.-		Immune inhibitor A
BIPKCHJG_00675	gene	2325	ina			
BIPKCHJG_00676	CDS	1338	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
BIPKCHJG_00676	gene	1338	glnA_1			
BIPKCHJG_00677	CDS	3036	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
BIPKCHJG_00677	gene	3036	glnE			
BIPKCHJG_00678	CDS	1338	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
BIPKCHJG_00678	gene	1338	hisD			
BIPKCHJG_00679	CDS	1146	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
BIPKCHJG_00679	gene	1146	hisC			
BIPKCHJG_00680	CDS	600	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
BIPKCHJG_00680	gene	600	hisB			
BIPKCHJG_00681	CDS	621				hypothetical protein
BIPKCHJG_00681	gene	621				
BIPKCHJG_00682	CDS	645	hisH	2.4.2.-		Imidazole glycerol phosphate synthase subunit HisH
BIPKCHJG_00682	gene	645	hisH			
BIPKCHJG_00683	CDS	384				hypothetical protein
BIPKCHJG_00683	gene	384				
BIPKCHJG_00684	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
BIPKCHJG_00684	gene	738	hisA			
BIPKCHJG_00685	CDS	465	yhjD_1		COG1295	Inner membrane protein YhjD
BIPKCHJG_00685	gene	465	yhjD_1			
BIPKCHJG_00686	CDS	786				hypothetical protein
BIPKCHJG_00686	gene	786				
BIPKCHJG_00687	CDS	747	infC		COG0290	Translation initiation factor IF-3
BIPKCHJG_00687	gene	747	infC			
BIPKCHJG_00688	CDS	195	rpmI		COG0291	50S ribosomal protein L35
BIPKCHJG_00688	gene	195	rpmI			
BIPKCHJG_00689	CDS	381	rplT		COG0292	50S ribosomal protein L20
BIPKCHJG_00689	gene	381	rplT			
BIPKCHJG_00690	CDS	738	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
BIPKCHJG_00690	gene	738	rlmB_1			
BIPKCHJG_00691	CDS	453				hypothetical protein
BIPKCHJG_00691	gene	453				
BIPKCHJG_00692	CDS	168				hypothetical protein
BIPKCHJG_00692	gene	168				
BIPKCHJG_00693	CDS	303				hypothetical protein
BIPKCHJG_00693	gene	303				
BIPKCHJG_00694	CDS	1386	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
BIPKCHJG_00694	gene	1386	dprE1			
BIPKCHJG_00695	CDS	1278		2.1.1.-	COG2230	putative fatty acid methyltransferase
BIPKCHJG_00695	gene	1278				
BIPKCHJG_00696	CDS	1095	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
BIPKCHJG_00696	gene	1095	pheS			
BIPKCHJG_00697	CDS	2526	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
BIPKCHJG_00697	gene	2526	pheT			
BIPKCHJG_00698	CDS	348	mazF6	3.1.27.-	COG2337	Endoribonuclease MazF6
BIPKCHJG_00698	gene	348	mazF6			
BIPKCHJG_00699	CDS	1050	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
BIPKCHJG_00699	gene	1050	argC			
BIPKCHJG_00700	CDS	1152	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
BIPKCHJG_00700	gene	1152	argJ			
BIPKCHJG_00701	CDS	1014	argB	2.7.2.8	COG0548	Acetylglutamate kinase
BIPKCHJG_00701	gene	1014	argB			
BIPKCHJG_00702	CDS	1188	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
BIPKCHJG_00702	gene	1188	argD			
BIPKCHJG_00703	CDS	948	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
BIPKCHJG_00703	gene	948	argF			
BIPKCHJG_00704	CDS	504	argR		COG1438	Arginine repressor
BIPKCHJG_00704	gene	504	argR			
BIPKCHJG_00705	CDS	1452	argH	4.3.2.1	COG0165	Argininosuccinate lyase
BIPKCHJG_00705	gene	1452	argH			
BIPKCHJG_00706	CDS	648		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
BIPKCHJG_00706	gene	648				
BIPKCHJG_00707	CDS	1086	add2	3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
BIPKCHJG_00707	gene	1086	add2			
BIPKCHJG_00708	CDS	309				hypothetical protein
BIPKCHJG_00708	gene	309				
BIPKCHJG_00709	CDS	372				hypothetical protein
BIPKCHJG_00709	gene	372				
BIPKCHJG_00710	CDS	1311	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
BIPKCHJG_00710	gene	1311	tyrS			
BIPKCHJG_00711	rRNA	1415				16S ribosomal RNA
BIPKCHJG_00711	gene	1415				
BIPKCHJG_00712	CDS	609				hypothetical protein
BIPKCHJG_00712	gene	609				
BIPKCHJG_00713	CDS	1059				hypothetical protein
BIPKCHJG_00713	gene	1059				
BIPKCHJG_00714	CDS	366				hypothetical protein
BIPKCHJG_00714	gene	366				
BIPKCHJG_00715	CDS	354				hypothetical protein
BIPKCHJG_00715	gene	354				
BIPKCHJG_00716	CDS	396	yybR		COG1733	putative HTH-type transcriptional regulator YybR
BIPKCHJG_00716	gene	396	yybR			
BIPKCHJG_00717	CDS	609				hypothetical protein
BIPKCHJG_00717	gene	609				
BIPKCHJG_00718	CDS	231	ppiB_1	5.2.1.8	COG0652	putative peptidyl-prolyl cis-trans isomerase B
BIPKCHJG_00718	gene	231	ppiB_1			
BIPKCHJG_00719	CDS	1053				hypothetical protein
BIPKCHJG_00719	gene	1053				
BIPKCHJG_00720	CDS	636	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
BIPKCHJG_00720	gene	636	ydaF			
BIPKCHJG_00721	CDS	555	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
BIPKCHJG_00721	gene	555	moaB			
BIPKCHJG_00722	CDS	513	moaC2	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 2
BIPKCHJG_00722	gene	513	moaC2			
BIPKCHJG_00723	CDS	1227	moaE2	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase 2
BIPKCHJG_00723	gene	1227	moaE2			
BIPKCHJG_00724	CDS	1380		2.7.7.-		putative uridylyltransferase
BIPKCHJG_00724	gene	1380				
BIPKCHJG_00725	CDS	585		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
BIPKCHJG_00725	gene	585				
BIPKCHJG_00726	CDS	1572	nhaP			K(+)/H(+) antiporter NhaP
BIPKCHJG_00726	gene	1572	nhaP			
BIPKCHJG_00727	CDS	333				hypothetical protein
BIPKCHJG_00727	gene	333				
BIPKCHJG_00728	CDS	846	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
BIPKCHJG_00728	gene	846	mtnP			
BIPKCHJG_00729	CDS	792				hypothetical protein
BIPKCHJG_00729	gene	792				
BIPKCHJG_00730	CDS	357	mscL		COG1970	Large-conductance mechanosensitive channel
BIPKCHJG_00730	gene	357	mscL			
BIPKCHJG_00731	CDS	3573				hypothetical protein
BIPKCHJG_00731	gene	3573				
BIPKCHJG_00732	CDS	1260	rfnT			Riboflavin transporter RfnT
BIPKCHJG_00732	gene	1260	rfnT			
BIPKCHJG_00733	CDS	1416	gdh_1	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
BIPKCHJG_00733	gene	1416	gdh_1			
BIPKCHJG_00734	CDS	612	argO		COG1279	Arginine exporter protein ArgO
BIPKCHJG_00734	gene	612	argO			
BIPKCHJG_00735	CDS	903			COG0583	putative HTH-type transcriptional regulator
BIPKCHJG_00735	gene	903				
BIPKCHJG_00736	CDS	585				hypothetical protein
BIPKCHJG_00736	gene	585				
BIPKCHJG_00737	CDS	1248	gtfB	2.4.1.310		Vancomycin aglycone glucosyltransferase
BIPKCHJG_00737	gene	1248	gtfB			
BIPKCHJG_00738	CDS	1413		4.1.2.27	COG0076	putative sphingosine-1-phosphate lyase
BIPKCHJG_00738	gene	1413				
BIPKCHJG_00739	CDS	1518	xylB_1	2.7.1.17	COG1070	Xylulose kinase
BIPKCHJG_00739	gene	1518	xylB_1			
BIPKCHJG_00740	CDS	1086	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
BIPKCHJG_00740	gene	1086	ligD_1			
BIPKCHJG_00741	CDS	744				hypothetical protein
BIPKCHJG_00741	gene	744				
BIPKCHJG_00742	CDS	1167				hypothetical protein
BIPKCHJG_00742	gene	1167				
BIPKCHJG_00743	CDS	1143		3.5.2.1		Barbiturase 1
BIPKCHJG_00743	gene	1143				
BIPKCHJG_00744	CDS	945	arcC1	2.7.2.2	COG0549	Carbamate kinase 1
BIPKCHJG_00744	gene	945	arcC1			
BIPKCHJG_00745	CDS	1500	accD3	6.4.1.2	COG0777	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
BIPKCHJG_00745	gene	1500	accD3			
BIPKCHJG_00746	CDS	1173	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
BIPKCHJG_00746	gene	1173	yfdE			
BIPKCHJG_00747	CDS	813	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
BIPKCHJG_00747	gene	813	qorB			
BIPKCHJG_00748	CDS	1983	apc4	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
BIPKCHJG_00748	gene	1983	apc4			
BIPKCHJG_00749	CDS	2094	apc3	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
BIPKCHJG_00749	gene	2094	apc3			
BIPKCHJG_00750	CDS	900		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
BIPKCHJG_00750	gene	900				
BIPKCHJG_00751	CDS	657				hypothetical protein
BIPKCHJG_00751	gene	657				
BIPKCHJG_00752	CDS	2430	kdhC	1.5.99.14		6-hydroxypseudooxynicotine dehydrogenase complex subunit gamma
BIPKCHJG_00752	gene	2430	kdhC			
BIPKCHJG_00753	CDS	522	cdhC	1.17.5.2		Caffeine dehydrogenase subunit gamma
BIPKCHJG_00753	gene	522	cdhC			
BIPKCHJG_00754	CDS	861	cutM_1	1.2.5.3		Carbon monoxide dehydrogenase medium chain
BIPKCHJG_00754	gene	861	cutM_1			
BIPKCHJG_00755	CDS	1488	rutG		COG2233	Putative pyrimidine permease RutG
BIPKCHJG_00755	gene	1488	rutG			
BIPKCHJG_00756	CDS	1362	pucR		COG2508	Purine catabolism regulatory protein
BIPKCHJG_00756	gene	1362	pucR			
BIPKCHJG_00757	CDS	738				hypothetical protein
BIPKCHJG_00757	gene	738				
BIPKCHJG_00758	CDS	2952	fdrA		COG0074	Protein FdrA
BIPKCHJG_00758	gene	2952	fdrA			
BIPKCHJG_00759	CDS	780	ctaD_1	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
BIPKCHJG_00759	gene	780	ctaD_1			
BIPKCHJG_00760	CDS	1212	camA_2	1.18.1.5		Putidaredoxin reductase CamA
BIPKCHJG_00760	gene	1212	camA_2			
BIPKCHJG_00761	CDS	717	fixK		COG0664	Nitrogen fixation regulation protein FixK
BIPKCHJG_00761	gene	717	fixK			
BIPKCHJG_00762	CDS	198				hypothetical protein
BIPKCHJG_00762	gene	198				
BIPKCHJG_00763	tRNA	74				tRNA-Arg(cct)
BIPKCHJG_00763	gene	74				
BIPKCHJG_00764	CDS	237				hypothetical protein
BIPKCHJG_00764	gene	237				
BIPKCHJG_00765	CDS	408	vapC_3	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
BIPKCHJG_00765	gene	408	vapC_3			
BIPKCHJG_00766	CDS	624				hypothetical protein
BIPKCHJG_00766	gene	624				
BIPKCHJG_00767	CDS	1659	bmr3_1			Multidrug resistance protein 3
BIPKCHJG_00767	gene	1659	bmr3_1			
BIPKCHJG_00768	CDS	1017	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
BIPKCHJG_00768	gene	1017	menB			
BIPKCHJG_00769	CDS	261				hypothetical protein
BIPKCHJG_00769	gene	261				
BIPKCHJG_00770	CDS	777				hypothetical protein
BIPKCHJG_00770	gene	777				
BIPKCHJG_00771	CDS	1131			COG0582	Putative prophage phiRv2 integrase
BIPKCHJG_00771	gene	1131				
BIPKCHJG_00772	CDS	234				hypothetical protein
BIPKCHJG_00772	gene	234				
BIPKCHJG_00773	CDS	2832	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
BIPKCHJG_00773	gene	2832	recD2_1			
BIPKCHJG_00774	CDS	372				hypothetical protein
BIPKCHJG_00774	gene	372				
BIPKCHJG_00775	CDS	1425				hypothetical protein
BIPKCHJG_00775	gene	1425				
BIPKCHJG_00776	CDS	1854				hypothetical protein
BIPKCHJG_00776	gene	1854				
BIPKCHJG_00777	CDS	1617	hsdM_1	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
BIPKCHJG_00777	gene	1617	hsdM_1			
BIPKCHJG_00778	CDS	1179				hypothetical protein
BIPKCHJG_00778	gene	1179				
BIPKCHJG_00779	CDS	3225	hsdR_1	3.1.21.3		Type-1 restriction enzyme R protein
BIPKCHJG_00779	gene	3225	hsdR_1			
BIPKCHJG_00780	CDS	1860				hypothetical protein
BIPKCHJG_00780	gene	1860				
BIPKCHJG_00781	CDS	372				hypothetical protein
BIPKCHJG_00781	gene	372				
BIPKCHJG_00782	CDS	537	ymdB	3.5.1.-	COG2110	O-acetyl-ADP-ribose deacetylase
BIPKCHJG_00782	gene	537	ymdB			
BIPKCHJG_00783	CDS	741	iap_1	3.4.-.-	COG0791	putative endopeptidase p60
BIPKCHJG_00783	gene	741	iap_1			
BIPKCHJG_00784	CDS	711	ideR		COG1321	Iron-dependent repressor IdeR
BIPKCHJG_00784	gene	711	ideR			
BIPKCHJG_00785	CDS	1239				hypothetical protein
BIPKCHJG_00785	gene	1239				
BIPKCHJG_00786	CDS	687	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
BIPKCHJG_00786	gene	687	pdxH			
BIPKCHJG_00787	CDS	1104	citA	2.3.3.16	COG0372	Putative citrate synthase 2
BIPKCHJG_00787	gene	1104	citA			
BIPKCHJG_00788	CDS	1140	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
BIPKCHJG_00788	gene	1140	serC			
BIPKCHJG_00789	CDS	204				hypothetical protein
BIPKCHJG_00789	gene	204				
BIPKCHJG_00790	CDS	1284	entS_1			Enterobactin exporter EntS
BIPKCHJG_00790	gene	1284	entS_1			
BIPKCHJG_00791	CDS	441			COG1846	putative HTH-type transcriptional regulator
BIPKCHJG_00791	gene	441				
BIPKCHJG_00792	CDS	1497	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
BIPKCHJG_00792	gene	1497	pbuG			
BIPKCHJG_00793	CDS	291				hypothetical protein
BIPKCHJG_00793	gene	291				
BIPKCHJG_00794	CDS	747				putative protein
BIPKCHJG_00794	gene	747				
BIPKCHJG_00795	CDS	396	csp		COG1278	Cold shock-like protein
BIPKCHJG_00795	gene	396	csp			
BIPKCHJG_00796	CDS	984	yihR		COG2017	putative protein YihR
BIPKCHJG_00796	gene	984	yihR			
BIPKCHJG_00797	CDS	423				hypothetical protein
BIPKCHJG_00797	gene	423				
BIPKCHJG_00798	CDS	534	tolB_3		COG0823	Protein TolB
BIPKCHJG_00798	gene	534	tolB_3			
BIPKCHJG_00799	CDS	705	tcrX_1		COG0745	putative transcriptional regulatory protein TcrX
BIPKCHJG_00799	gene	705	tcrX_1			
BIPKCHJG_00800	CDS	1470	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
BIPKCHJG_00800	gene	1470	tcrY_1			
BIPKCHJG_00801	CDS	1356	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
BIPKCHJG_00801	gene	1356	degP_1			
BIPKCHJG_00802	CDS	1938	helD_1	3.6.4.12	COG3973	DNA helicase IV
BIPKCHJG_00802	gene	1938	helD_1			
BIPKCHJG_00803	CDS	1041		1.1.1.1		Alcohol dehydrogenase
BIPKCHJG_00803	gene	1041				
BIPKCHJG_00804	CDS	1872				hypothetical protein
BIPKCHJG_00804	gene	1872				
BIPKCHJG_00805	CDS	2541	ytrF		COG0577	ABC transporter permease YtrF
BIPKCHJG_00805	gene	2541	ytrF			
BIPKCHJG_00806	CDS	783	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
BIPKCHJG_00806	gene	783	bceA_1			
BIPKCHJG_00807	CDS	654				hypothetical protein
BIPKCHJG_00807	gene	654				
BIPKCHJG_00808	CDS	765				hypothetical protein
BIPKCHJG_00808	gene	765				
BIPKCHJG_00809	CDS	387				hypothetical protein
BIPKCHJG_00809	gene	387				
BIPKCHJG_00810	CDS	1629	groL2			60 kDa chaperonin 2
BIPKCHJG_00810	gene	1629	groL2			
BIPKCHJG_00811	CDS	1224	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
BIPKCHJG_00811	gene	1224	pitA_1			
BIPKCHJG_00812	CDS	306				hypothetical protein
BIPKCHJG_00812	gene	306				
BIPKCHJG_00813	CDS	597				hypothetical protein
BIPKCHJG_00813	gene	597				
BIPKCHJG_00814	CDS	297				hypothetical protein
BIPKCHJG_00814	gene	297				
BIPKCHJG_00815	CDS	1407	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
BIPKCHJG_00815	gene	1407	ddc			
BIPKCHJG_00816	CDS	1500	nfdA_2	3.5.1.91		N-substituted formamide deformylase
BIPKCHJG_00816	gene	1500	nfdA_2			
BIPKCHJG_00817	CDS	1701	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
BIPKCHJG_00817	gene	1701	acsA_1			
BIPKCHJG_00818	CDS	819	fgd2_1	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
BIPKCHJG_00818	gene	819	fgd2_1			
BIPKCHJG_00819	CDS	1911	cysNC		COG0529	Bifunctional enzyme CysN/CysC
BIPKCHJG_00819	gene	1911	cysNC			
BIPKCHJG_00820	CDS	912	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
BIPKCHJG_00820	gene	912	cysD			
BIPKCHJG_00821	CDS	651	ppaX_1	3.6.1.1	COG0546	Pyrophosphatase PpaX
BIPKCHJG_00821	gene	651	ppaX_1			
BIPKCHJG_00822	CDS	675	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
BIPKCHJG_00822	gene	675	ung			
BIPKCHJG_00823	CDS	879	carH			HTH-type transcriptional repressor CarH
BIPKCHJG_00823	gene	879	carH			
BIPKCHJG_00824	CDS	1281		1.4.5.-		L-amino acid dehydrogenase
